CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Telangana Circle,Hyderabad Region,Hanamkonda Division,Jangaon H.O,506167,HO,Delivery,JANGOAN,TELANGANA,17.7244167,79.1523611
Telangana Circle,Hyderabad Region,Hanamkonda Division,Parkal H.O,506164,HO,Delivery,WARANGAL,TELANGANA,18.1981929,79.7017406
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Mahabubnagar H.O,509001,HO,Delivery,MAHABUBNAGAR,TELANGANA,16.7490833,77.9942222
Telangana Circle,Hyderabad Region,Nalgonda Division,Nalgonda H.O,508001,HO,Delivery,NALGONDA,TELANGANA,17.058425,79.272626
Telangana Circle,Hyderabad Region,Warangal Division,Warangal H.O,506002,HO,Delivery,HANUMAKONDA,TELANGANA,17.975928,79.601559
Telangana Circle,Hyderabad City Region,Secunderabad Division,Secunderabad H.O,500003,HO,Delivery,HYDERABAD,TELANGANA,17.44128087456386,78.49522379805465
Telangana Circle,Hyderabad City Region,Secunderabad Division,Trimulgherry H.O,500015,HO,Delivery,HYDERABAD,TELANGANA,17.478398,78.514711
Andhra Pradesh Circle,Kurnool Region,Cuddapah Division,Cuddapah H.O,516001,HO,Delivery,Y.S.R.,ANDHRA PRADESH,14.478539,78.822058
Andhra Pradesh Circle,Kurnool Region,Cuddapah Division,Rajampet H.O,516115,HO,Delivery,Y.S.R.,ANDHRA PRADESH,14.1975750,79.1600100
Andhra Pradesh Circle,Kurnool Region,Kurnool Division,Kurnool H.O,518001,HO,Delivery,KURNOOL,ANDHRA PRADESH,15.833006,78.047822
Andhra Pradesh Circle,Vijayawada Region,Bhimavaram Division,Bhimavaram H.O,534201,HO,Delivery,WEST GODAVARI,ANDHRA PRADESH,16.54069444,81.52402778
Andhra Pradesh Circle,Vijayawada Region,Gudur Division,Gudur H.O,524101,HO,Delivery,Tirupati,ANDHRA PRADESH,14.1463611,79.8469444
Andhra Pradesh Circle,Vijayawada Region,Guntur Division,Mangalagiri H.O,522503,HO,Delivery,GUNTUR,ANDHRA PRADESH,16.43433,80.56469
Telangana Circle,Hyderabad Region,Khammam Division,Khammam H.O,507001,HO,Delivery,KHAMMAM,TELANGANA,17.4026389,80.2353333
Andhra Pradesh Circle,Vijayawada Region,Nellore Division,Nellore H.O,524001,HO,Delivery,SPSR NELLORE,ANDHRA PRADESH,14.451895,79.980856
Andhra Pradesh Circle,Vijayawada Region,Prakasam Division,Kandukur H.O,523105,HO,Delivery,PRAKASAM,ANDHRA PRADESH,15.2163056,78.9040833
Andhra Pradesh Circle,Vijayawada Region,Tadepalligudem Division,Tadepalligudem H.O,534101,HO,Delivery,WEST GODAVARI,ANDHRA PRADESH,16.8118333,81.5235000
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Narsipatnam H.O,531116,HO,Delivery,Anakapalli,ANDHRA PRADESH,17.5731180,82.4914120
Andhra Pradesh Circle,Visakhapatnam Region,Parvathipuram Division,Bobbili H.O,535558,HO,Delivery,VIZIANAGARAM,ANDHRA PRADESH,18.5744722,83.3570278
Andhra Pradesh Circle,Visakhapatnam Region,Visakhapatnam Division,Visakhapatnam H.O,530001,HO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.70402479,83.29639357
Assam Circle,Dibrugarh Region,Dibrugarh Division,Dibrugarh H.O,786001,HO,Delivery,DIBRUGARH,ASSAM,27.4798611,94.9055000
Assam Circle,Dibrugarh Region,Nagaon Division,Diphu H.O,782460,HO,Delivery,KARBI ANGLONG,ASSAM,25.8394444,93.4376944
Assam Circle,Dibrugarh Region,Sibsagar Division,Jorhat H.O,785001,HO,Delivery,JORHAT,ASSAM,26.7580278,94.2100556
Assam Circle,Dibrugarh Region,Sibsagar Division,Sivasagar H.O,785640,HO,Delivery,SIVASAGAR,ASSAM,26.9886944,94.6318889
Assam Circle,DivReportingCircle,Cachar Division,Karimganj H.O,788710,HO,Delivery,KARIMGANJ,ASSAM,24.8675840,92.3603820
Assam Circle,DivReportingCircle,Cachar Division,Silchar H.O,788001,HO,Delivery,CACHAR,ASSAM,24.8236370,92.8018270
Bihar Circle,Muzaffarpur Region,Darbhanga Division,Laheriasarai HO,846001,HO,Delivery,DARBHANGA,BIHAR,26.1192222,85.9044722
Bihar Circle,Muzaffarpur Region,East Champaran Division,Motihari HO,845401,HO,Delivery,PURBI CHAMPARAN,BIHAR,26.6446944,84.9017222
Bihar Circle,East Region Bhagalpur,Saharsa Division,Supaul HO,852131,HO,Delivery,SUPAUL,BIHAR,26.1100000,86.5900000
Bihar Circle,DivReportingCircle,Bhojpur Division,Arrah HO,802301,HO,Delivery,BHOJPUR,BIHAR,25.5587222,84.6674722
Bihar Circle,East Region Bhagalpur,Nawadha Division,Nawadha HO,805110,HO,Delivery,NAWADA,BIHAR,24.8870000,85.5350278
Chattisgarh Circle,DivReportingCircle,Bilaspur Division,Bilaspur BilaspurCGH HO,495001,HO,Delivery,BILASPUR,CHHATTISGARH,22.086991309999998,82.1451292
Chattisgarh Circle,DivReportingCircle,Bilaspur Division,Janjgir HO,495668,HO,Delivery,JANJGIR-CHAMPA,CHHATTISGARH,22.006907730000002,82.577767519999995
Delhi Circle,DivReportingCircle,Delhi GPO Division,Delhi GPO,110006,HO,Delivery,NORTH,DELHI,28.662197,77.235397
Delhi Circle,DivReportingCircle,New Delhi Central Division,Indraprastha HO,110002,HO,Delivery,CENTRAL,DELHI,28.6317778,77.2402500
Delhi Circle,DivReportingCircle,New Delhi West Division,Naraina Industrial Estate H.O,110028,HO,Delivery,NEW DELHI,DELHI,28.6321410,77.1388520
